"","3D1-1-7d_R1","3D1-8-12d_R1","3D1-7-14d_R1","3D1-9-14d_R1","3D1-10-14d_R1","3D1-1-28d_R1","3D1-2-7d_R1","3D1-4-28d_R1","3D1-5-28d_R1","3D7-2-7d_R1","3D7-8-7d_R1","3D7-10-7d_R1","3D7-2-12d_R1","3D7-3-12d_R1","3D7-6-12d_R1","3D7-4-14d_R1","3D7-5-14d_R1","3D1-3-7d_R1","3D7-10-14d_R1","3D7-1-28d_R1","3D7-5-28d_R1","3D7-10-28d_R1","3D1-2-12d_R1","3D1-5-12d_R1"
"ZT3D7_G3613",4,3,6,3,1,2294,2,2370,2421,5,11,7,8,17,14,564,216,4,871,508,1188,779,3,1
"ZT3D7_G3614",0,1,1,0,0,33,0,58,36,0,1,5,1,0,4,12,8,0,15,40,83,65,0,0
"ZT3D7_G3615",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,19,7,0,51,8,14,3,0,0
"ZT3D7_G3616",57,106,111,126,83,2828,60,2658,3402,81,51,16,131,138,511,263,471,27,178,27,22,11,44,34
"ZT3D7_G3617",10,23,17,21,13,1379,12,1226,1127,20,35,36,32,61,109,1603,1136,4,1994,1481,2454,1887,14,0
"ZT3D7_G3618",1,15,3,14,5,434,1,358,484,19,16,19,16,17,23,670,329,1,1123,498,937,529,3,1
"ZT3D7_G3619",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,2,2,0,0
"ZT3D7_G3620",15,7,5,4,2,167,2,260,262,8,21,10,47,6,27,112,66,10,192,125,283,264,8,15
"ZT3D7_G3621",0,0,0,2,0,281,0,291,357,3,12,7,7,3,6,79,16,0,166,532,705,551,0,0
"ZT3D7_G3622",1,4,0,1,0,49,1,53,52,2,4,1,4,4,6,16,10,1,34,21,35,23,1,0
"ZT3D7_G3623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"ZT3D7_G3624",0,1,4,7,0,333,0,408,412,6,22,4,4,12,23,419,147,0,668,307,499,394,1,0
"ZT3D7_G3625",2,4,1,6,1,253,2,274,246,11,8,11,15,10,17,105,100,3,222,257,366,267,6,3
"ZT3D7_G3626",0,0,0,2,0,185,0,118,193,1,4,2,8,3,22,284,118,0,392,110,184,108,0,3
"ZT3D7_G3627",0,2,2,1,0,24,0,61,24,0,1,4,0,4,2,58,26,0,49,20,29,20,1,0
"ZT3D7_G3628",4,37,25,27,20,7956,7,8249,8861,31,45,26,31,49,140,1308,747,6,3390,5538,7505,6611,16,6
"ZT3D7_G3629",0,1,0,0,0,106,0,86,84,0,1,2,0,2,3,17,4,0,23,79,103,110,0,0
"ZT3D7_G3630",14,10,12,24,16,2872,3,1783,2878,45,45,51,34,27,61,1329,529,4,2563,1761,2416,2055,22,9
"ZT3D7_G3631",6,11,4,22,4,598,5,484,649,34,24,7,54,10,32,238,72,0,355,167,338,236,3,0
"ZT3D7_G3632",0,2,1,0,1,163,0,62,161,3,0,2,0,2,3,24,5,1,59,62,93,66,1,0
"ZT3D7_G3633",0,0,0,0,0,3,0,4,5,0,3,0,6,0,1,7,0,0,9,6,10,14,0,0
"ZT3D7_G3634",0,0,1,2,2,93,0,110,134,1,9,6,6,5,7,127,58,0,245,173,216,160,0,0
"ZT3D7_G3635",16,36,21,51,14,4546,8,3998,4872,70,49,65,69,36,146,618,353,11,1961,2436,3669,3002,23,11
"ZT3D7_G3636",8,43,27,56,25,2540,9,2442,2669,59,32,35,36,46,115,979,533,1,2109,1347,2156,2072,19,10
"ZT3D7_G3637",3,3,4,9,2,964,1,666,1141,11,9,11,4,10,16,317,100,4,730,805,1384,995,5,1
"ZT3D7_G3638",0,0,2,9,1,336,0,237,241,0,0,0,1,1,3,46,24,0,128,137,218,186,0,0
"ZT3D7_G3639",0,17,11,15,14,81,0,155,116,9,6,2,8,3,30,30,21,0,27,18,13,15,15,1
"ZT3D7_G3640",0,0,4,4,3,187,0,175,246,0,0,0,0,1,3,45,25,0,57,47,62,45,1,0
"ZT3D7_G3641",2,4,2,6,3,562,2,428,635,29,14,19,27,8,36,185,91,1,281,479,635,538,2,5
"ZT3D7_G3642",0,3,2,1,1,43,0,31,58,3,1,2,1,0,3,24,7,0,30,21,20,13,0,0
"ZT3D7_G3643",9,4,3,3,1,63,4,69,67,20,21,22,22,3,15,163,71,1,173,83,117,120,0,4
"ZT3D7_G3644",4,14,12,9,3,422,3,365,540,62,34,17,85,20,59,517,237,5,513,410,491,498,16,13
"ZT3D7_G3645",5,14,17,18,8,866,2,720,843,17,28,28,34,12,54,851,312,2,1190,738,1021,943,4,5
"ZT3D7_G3647",3,11,11,14,4,2983,3,2065,2646,19,17,24,16,22,52,457,166,1,1195,1670,2373,1811,11,0
"ZT3D7_G3648",0,5,1,7,2,310,0,228,240,6,5,2,5,10,6,285,100,1,434,217,350,282,1,0
"ZT3D7_G3649",2,5,5,9,4,638,0,400,649,8,5,1,11,3,8,191,98,0,534,830,1390,925,5,0
"ZT3D7_G3650",0,2,0,3,2,139,0,96,136,3,4,1,3,2,8,33,29,0,49,97,149,108,1,0
