"","1A5-1-7d_R1","1A5-7-7d_R1","1A5-10-7d_R1","1A5-3-12d_R1","1A5-5-12d_R1","1A5-7-12d_R1","1A5-8-14d_R1","1A5-9-14d_R1","1A5-10-14d_R1","1A5-3-28d_R1","1A5-6-28d_R1","1A5-7-28d_R1","1E4-4-7d_R1","1E4-5-7d_R1","1E4-6-7d_R1","1E4-3-12d_R1","1E4-6-12d_R1","1E4-7-12d_R1","1E4-5-14d_R1","1E4-8-14d_R1","1E4-10-14d_R1","1E4-3-28d_R1","1E4-4-28d_R1","1E4-6-28d_R1"
"ZT3D7_G227",5,20,5,6,22,15,40,438,207,1349,2280,1839,5,11,18,249,31,45,157,130,183,3566,2661,3303
"ZT3D7_G228",2,7,2,1,13,1,13,204,40,1203,1170,1868,6,14,18,182,14,15,81,78,180,2458,2364,2455
"ZT3D7_G229",1,2,0,2,44,4,139,489,225,27,44,26,0,0,0,263,20,65,392,366,776,42,25,40
"ZT3D7_G230",0,4,2,1,9,6,24,127,72,804,643,1221,3,5,3,85,14,15,49,77,51,863,540,610
"ZT3D7_G231",0,0,0,0,2,0,0,7,1,11,31,27,0,0,0,5,0,1,2,3,1,38,14,19
"ZT3D7_G232",0,0,0,0,0,0,0,12,20,20,11,18,1,0,0,6,0,3,3,9,15,49,20,43
"ZT3D7_G233",0,2,0,0,4,0,12,52,34,49,42,45,1,1,1,14,5,7,29,19,25,61,47,86
"ZT3D7_G234",1,3,1,4,3,5,9,245,104,1499,1513,1953,3,2,10,74,5,16,79,71,43,1193,1353,1177
"ZT3D7_G235",2,2,0,1,5,1,16,111,44,345,265,463,1,0,5,24,3,6,33,39,21,195,271,239
"ZT3D7_G236",11,29,9,14,53,37,114,788,274,6782,8028,9480,22,45,68,874,66,90,336,326,459,12637,8252,12928
"ZT3D7_G237",3,2,7,1,9,9,21,237,84,594,674,770,3,7,5,70,25,29,78,81,81,636,594,956
"ZT3D7_G238",7,28,10,28,15,27,75,773,496,1656,1468,2202,25,26,32,220,35,68,408,298,241,2088,1723,1600
"ZT3D7_G239",0,0,0,0,0,0,0,17,0,6,4,13,0,0,0,0,0,3,3,2,2,10,15,15
"ZT3D7_G240",0,0,0,0,0,1,5,15,6,13,7,15,1,0,0,0,0,5,1,0,0,13,9,17
"ZT3D7_G241",0,0,0,1,0,0,0,14,8,7,9,2,0,0,0,0,2,1,6,2,1,5,3,5
"ZT3D7_G242",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G243",1,22,16,6,14,8,28,281,190,725,587,599,40,30,50,100,18,32,113,97,73,909,484,689
"ZT3D7_G244",18,143,47,56,54,37,95,429,206,3779,3008,5116,129,105,130,512,74,113,99,145,162,7400,3904,3426
"ZT3D7_G245",81,21,38,133,345,321,835,1821,1409,430,604,785,119,119,44,1928,644,1114,2281,3414,3629,354,534,665
"ZT3D7_G246",0,4,0,3,2,2,3,31,21,102,56,75,3,2,4,11,2,5,8,4,5,133,93,126
"ZT3D7_G247",0,0,0,0,0,1,0,3,0,5,19,12,0,0,0,4,1,0,2,0,7,54,17,29
"ZT3D7_G248",9,22,23,15,18,17,62,401,102,924,1078,1233,12,35,43,187,53,74,123,154,199,2174,1179,2088
"ZT3D7_G249",0,1,0,10,56,33,141,769,361,304,390,257,5,5,3,272,59,58,394,433,464,542,301,733
"ZT3D7_G250",1,3,0,0,10,1,10,91,26,33,44,47,3,7,9,35,3,11,44,48,37,326,204,310
"ZT3D7_G251",2,1,1,1,0,0,3,48,39,178,162,239,1,0,4,17,1,3,12,14,10,238,160,223
"ZT3D7_G252",6,60,34,13,26,14,31,1075,306,3718,3874,5084,19,63,35,548,43,57,215,83,121,9063,4818,5549
"ZT3D7_G253",0,0,0,0,0,0,0,13,0,10,8,4,1,0,0,6,3,0,2,3,3,59,19,35
"ZT3D7_G254",0,0,1,0,2,0,9,39,26,32,26,25,1,2,0,9,1,6,20,24,27,57,32,46
"ZT3D7_G255",0,0,0,0,1,0,0,10,8,4,12,7,0,0,4,0,0,0,3,2,5,7,3,7
"ZT3D7_G256",6,26,14,26,47,25,73,1424,530,4516,4947,5000,25,43,60,376,49,91,354,254,225,4869,4064,7550
"ZT3D7_G257",19,43,17,34,60,44,170,1759,854,4677,4210,6423,41,40,29,531,84,118,861,630,532,6207,4842,4589
"ZT3D7_G258",0,0,0,0,0,0,5,3,0,11,7,11,3,2,0,1,0,0,0,2,0,12,10,5
"ZT3D7_G259",0,10,0,1,5,2,0,55,5,341,453,545,0,1,3,26,0,1,11,2,1,397,473,375
"ZT3D7_G260",3,27,12,13,27,13,70,434,297,1714,2003,2213,18,30,44,310,42,59,301,189,286,3533,2912,3318
"ZT3D7_G261",0,0,0,0,1,0,1,15,2,11,42,36,6,1,2,27,5,10,47,32,44,223,172,295
"ZT3D7_G262",52,83,47,72,198,151,488,2114,1080,6037,7083,8549,81,118,98,1210,270,376,1122,1389,1111,9503,6946,9325
"ZT3D7_G263",3,5,2,3,3,0,3,117,81,377,408,495,5,2,10,21,3,7,28,21,28,254,219,354
"ZT3D7_G264",26,845,73,55,134,62,59,146,69,46,52,44,144,195,464,24,52,111,50,32,108,53,53,80
"ZT3D7_G265",4,2,4,2,6,0,2,56,17,227,201,281,0,1,0,7,3,8,2,9,15,38,52,65
"ZT3D7_G266",13,16,6,11,96,62,356,702,529,902,1130,1449,12,4,10,333,124,156,463,588,630,227,408,259
"ZT3D7_G267",4,4,3,13,54,49,178,282,222,119,143,236,8,7,4,196,52,108,298,314,364,117,120,144
"ZT3D7_G268",11,24,8,11,20,19,73,484,153,884,1042,1292,18,24,31,201,56,69,231,251,280,1786,1199,1442
"ZT3D7_G269",0,0,4,5,15,4,14,33,13,128,141,238,1,5,2,44,8,19,16,13,22,378,259,361
"ZT3D7_G270",3,30,9,9,15,6,28,165,66,2424,2749,3747,14,28,20,349,8,36,54,58,102,5240,3970,3847
"ZT3D7_G271",0,0,0,3,2,3,10,13,15,33,22,41,0,2,0,8,2,5,18,15,11,24,10,34
"ZT3D7_G272",0,0,0,0,1,0,1,22,0,77,38,60,1,0,2,3,1,0,0,2,0,23,33,40
"ZT3D7_G273",6,16,8,14,32,17,56,662,272,2583,2524,3359,6,14,29,263,29,44,140,186,215,3044,2263,2850
"ZT3D7_G274",0,6,1,0,5,5,24,128,43,272,439,326,0,6,8,41,12,23,40,53,113,473,281,620
"ZT3D7_G275",3,0,3,1,14,7,84,224,53,450,719,713,1,6,11,109,23,28,42,49,294,1116,602,2022
"ZT3D7_G276",33,66,22,84,163,115,488,5160,1285,7734,10533,9643,67,62,28,2019,445,437,1179,1582,1238,17943,6655,19524
"ZT3D7_G277",1,3,1,2,4,2,37,165,70,174,216,256,0,1,0,29,9,15,69,55,67,194,160,156
"ZT3D7_G278",1,0,2,0,2,0,8,52,14,103,186,175,0,0,0,5,0,0,10,5,12,54,45,55
"ZT3D7_G279",7,35,11,22,31,12,40,695,243,1185,1195,1690,28,41,60,242,57,111,290,292,194,2691,1267,1339
"ZT3D7_G280",0,0,0,4,4,5,4,98,33,199,349,538,4,3,3,221,13,16,178,243,142,3335,1866,3014
"ZT3D7_G281",1,3,1,4,2,8,1,15,11,18,11,4,4,1,1,12,5,9,7,12,29,7,4,3
"ZT3D7_G282",18,43,12,14,37,23,101,1036,374,2688,2881,3953,45,52,47,309,47,87,254,241,188,3720,2508,2758
"ZT3D7_G283",32,115,50,47,140,109,372,3290,1797,10488,10535,13992,84,109,103,992,203,322,1563,1446,1232,10218,7467,6875
"ZT3D7_G284",0,0,0,6,0,2,8,45,17,382,429,581,2,0,2,44,3,3,9,8,8,624,408,682
"ZT3D7_G285",0,0,2,0,1,1,6,84,1,392,298,654,1,1,5,23,4,5,20,19,12,515,411,456
"ZT3D7_G286",1,6,6,3,9,12,12,236,86,652,724,1011,6,12,15,116,24,46,127,148,141,894,768,930
"ZT3D7_G287",1,0,0,0,2,6,18,86,66,148,244,288,0,1,1,37,3,8,21,49,29,304,217,368
"ZT3D7_G288",1,2,1,8,8,3,33,116,65,261,199,384,3,4,1,43,8,18,38,37,48,275,236,546
"ZT3D7_G289",0,0,0,0,5,0,3,11,7,1,2,4,0,2,0,0,0,0,2,5,6,7,0,4
"ZT3D7_G290",1,6,4,8,21,5,24,255,132,927,910,1487,2,8,19,125,7,22,115,106,99,1293,913,867
"ZT3D7_G291",5,10,9,3,12,9,29,184,100,444,470,617,9,5,7,73,14,9,85,64,94,623,405,555
"ZT3D7_G292",12,9,8,6,8,17,48,394,183,853,995,1081,9,17,42,191,53,60,152,185,174,1605,978,1981
"ZT3D7_G293",4,10,3,8,10,7,43,398,217,420,404,570,6,9,11,90,19,33,157,103,135,566,470,585
"ZT3D7_G294",5,0,1,5,2,2,4,156,59,706,735,726,3,3,1,68,5,10,53,54,55,847,440,946
"ZT3D7_G295",1,9,2,0,5,2,5,160,68,811,842,1211,6,1,6,103,5,8,78,43,15,1657,1037,1456
"ZT3D7_G296",1,29,24,25,44,12,33,2423,1999,45222,37521,66055,19,64,112,4376,68,108,320,44,129,75719,58331,46435
"ZT3D7_G297",0,0,0,0,0,1,0,10,0,32,26,75,0,0,0,9,0,0,0,0,3,72,47,65
"ZT3D7_G298",0,1,0,4,0,3,13,133,24,150,199,273,0,0,4,64,1,4,28,23,13,811,659,979
"ZT3D7_G299",0,0,0,0,0,0,0,1,3,2,6,7,0,0,0,0,0,0,0,0,0,3,2,2
"ZT3D7_G300",0,0,0,0,0,0,0,3,3,16,11,13,0,0,0,1,0,0,5,4,1,14,9,5
"ZT3D7_G301",17,6,8,40,48,49,69,302,210,1263,1464,2073,10,18,9,248,58,116,179,234,180,1752,1664,1697
"ZT3D7_G302",1,5,0,2,10,3,31,276,112,796,763,1249,11,8,6,139,17,24,126,109,139,1176,984,899
"ZT3D7_G303",0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,8,0,0,3,1,3
"ZT3D7_G304",2,3,4,1,3,2,4,30,13,65,74,54,1,2,5,6,3,4,5,6,15,47,35,80
"ZT3D7_G305",0,0,1,1,0,2,3,19,12,37,54,65,1,3,0,9,4,1,12,12,15,42,35,72
"ZT3D7_G306",0,1,0,3,3,1,12,74,31,119,169,178,1,5,0,24,3,6,10,4,15,278,142,241
"ZT3D7_G307",28,169,59,33,48,45,121,433,41,192,214,176,168,168,182,73,73,83,56,118,294,280,202,330
"ZT3D7_G308",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G309",3,2,0,5,7,1,9,94,34,650,832,1039,1,4,0,76,6,3,7,0,2,1367,1156,1720
"ZT3D7_G310",22,11,5,45,88,50,139,205,154,141,157,139,8,5,0,93,72,69,110,186,136,11,10,16
"ZT3D7_G311",0,1,0,2,5,4,12,47,14,48,71,83,0,3,3,18,1,10,18,22,33,85,49,100
"ZT3D7_G312",1,7,5,12,31,22,57,633,332,1113,1189,1335,10,20,28,140,43,66,375,290,201,1459,1100,1615
"ZT3D7_G313",4,1,0,6,9,5,37,108,37,151,260,194,4,4,1,50,8,20,34,28,91,249,123,318
"ZT3D7_G314",6,6,4,13,40,23,99,538,146,2378,2406,3496,7,18,9,316,32,57,150,164,442,3832,2621,3218
"ZT3D7_G315",0,0,0,0,1,1,2,25,14,24,17,26,1,2,1,25,8,1,27,17,11,230,100,196
"ZT3D7_G316",0,0,0,0,0,0,0,21,2,52,55,71,1,2,0,16,1,0,0,0,5,224,160,211
"ZT3D7_G317",2,24,9,16,23,22,50,510,244,956,1043,1091,26,17,15,154,51,71,386,342,261,1152,978,1342
"ZT3D7_G318",0,4,0,0,1,0,5,49,24,145,191,227,1,2,0,15,1,3,6,7,3,118,137,171
"ZT3D7_G319",0,0,1,0,5,0,20,509,144,567,788,568,1,2,2,79,10,6,125,59,61,648,423,669
"ZT3D7_G320",12,41,16,25,34,29,52,738,517,1798,1619,2309,32,29,29,259,38,71,319,267,165,2843,1618,1224
"ZT3D7_G321",21,105,26,30,63,30,78,598,350,5874,4747,7513,58,50,68,485,38,78,124,166,118,7190,4812,4644
"ZT3D7_G322",2,3,2,2,2,2,11,87,25,54,60,55,3,6,0,24,9,16,49,55,46,97,31,102
"ZT3D7_G323",3,3,1,5,5,2,30,216,60,452,511,734,6,9,6,100,19,20,38,103,79,839,660,1186
"ZT3D7_G324",3,3,2,3,7,8,22,116,63,191,200,286,0,5,2,64,19,17,78,93,80,387,266,313
"ZT3D7_G325",0,0,0,0,0,0,1,7,1,34,24,50,0,0,0,1,0,0,1,0,0,33,14,34
"ZT3D7_G326",3,13,10,8,22,11,28,109,85,127,121,147,30,17,13,84,18,33,148,177,98,575,284,286
"ZT3D7_G327",1,0,0,1,3,4,10,27,37,28,17,23,2,2,0,38,12,10,68,59,49,21,11,22
"ZT3D7_G328",1,6,2,7,19,7,39,263,134,704,744,796,7,10,15,107,23,43,130,129,120,728,430,685
"ZT3D7_G329",5,0,0,1,8,13,26,57,47,60,72,51,3,2,0,49,10,33,89,52,38,145,87,182
"ZT3D7_G330",18,0,8,10,26,43,77,335,51,79,162,113,11,12,2,149,48,96,172,196,298,85,113,225
"ZT3D7_G331",0,4,0,2,0,7,9,94,15,21,27,33,3,1,0,8,1,1,23,26,19,69,23,34
"ZT3D7_G332",8,67,30,35,64,26,102,1631,696,5168,5081,5298,16,39,45,391,40,77,329,233,263,6017,3440,4889
"ZT3D7_G333",0,1,2,2,3,1,7,137,49,767,978,1083,2,6,3,51,10,12,42,29,19,773,766,773
"ZT3D7_G334",11,0,0,18,30,20,59,157,89,42,85,35,5,5,6,121,49,72,152,147,191,63,39,65
"ZT3D7_G335",1,2,3,2,10,6,47,283,175,810,773,1221,4,8,3,145,16,24,135,141,128,1245,1036,1251
"ZT3D7_G336",2,20,4,6,6,6,17,306,106,1688,2025,2990,7,10,14,302,20,17,64,44,45,4602,3487,4008
"ZT3D7_G337",1,8,0,2,5,0,12,73,31,601,854,836,6,2,2,36,8,6,24,19,39,336,385,429
"ZT3D7_G338",4,31,7,9,17,9,61,416,118,1828,1860,2484,16,26,28,259,19,35,124,89,119,2897,1981,2719
"ZT3D7_G339",0,3,2,7,9,7,19,215,115,334,417,436,17,3,7,54,20,27,157,108,65,511,326,291
"ZT3D7_G340",0,0,0,0,2,0,1,27,2,375,391,494,1,5,1,105,3,6,16,15,26,1229,1078,826
"ZT3D7_G341",0,12,5,4,7,7,23,281,91,1231,1495,1703,2,9,8,69,8,11,43,27,43,924,862,812
"ZT3D7_G342",1,3,5,4,1,2,3,34,38,109,165,128,0,2,2,10,4,5,7,13,6,79,39,55
"ZT3D7_G343",0,1,0,0,1,1,0,57,28,114,146,181,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G344",1,0,0,0,0,2,3,16,9,7,9,9,0,2,0,6,1,0,17,6,19,19,15,12
"ZT3D7_G345",1,0,0,3,10,3,19,109,49,70,128,87,2,6,7,38,14,9,69,58,65,211,170,230
"ZT3D7_G346",0,6,1,3,9,4,12,126,73,396,363,527,4,1,6,50,5,17,68,55,37,455,385,363
"ZT3D7_G347",0,0,1,0,1,0,0,27,12,10,15,17,0,1,2,5,3,2,7,7,1,44,27,57
"ZT3D7_G348",17,69,41,22,69,42,151,1989,1061,8735,8187,12251,49,64,59,764,88,170,797,602,511,10130,7482,7869
"ZT3D7_G349",0,0,0,0,0,0,0,16,8,11,9,10,0,0,0,1,0,0,0,0,1,3,1,19
"ZT3D7_G350",0,0,0,0,1,0,0,8,0,37,37,35,0,0,1,6,1,0,1,0,0,75,49,64
"ZT3D7_G351",10,32,8,24,25,21,79,771,176,2115,2143,2757,19,26,13,237,27,60,234,209,165,2459,2042,2973
"ZT3D7_G352",0,2,2,1,3,4,5,18,2,174,308,346,3,2,1,12,0,4,5,0,7,239,258,302
"ZT3D7_G353",16,19,4,16,83,39,346,1941,596,8713,9298,14747,11,27,16,1216,58,56,564,400,720,16999,12228,16628
"ZT3D7_G354",3,14,8,10,21,12,47,560,183,1495,1620,1922,10,16,41,176,35,50,215,182,198,1999,1433,1961
"ZT3D7_G355",0,0,0,0,0,0,0,4,7,5,22,1,0,0,0,1,0,0,1,3,0,23,8,31
"ZT3D7_G356",3,3,1,6,9,16,52,339,190,485,579,795,5,2,11,97,16,24,167,138,128,838,670,921
"ZT3D7_G357",2,0,0,1,3,2,4,47,5,28,70,70,0,2,0,26,3,13,39,32,39,214,129,287
"ZT3D7_G358",0,2,0,0,5,3,2,85,61,451,454,764,3,4,15,63,2,5,24,19,15,846,463,535
"ZT3D7_G359",0,0,1,0,12,5,34,116,61,249,319,487,3,6,3,53,4,12,30,49,105,311,332,334
"ZT3D7_G360",5,12,6,5,30,14,27,530,152,1390,1533,2095,1,9,30,132,30,40,135,134,134,1187,1060,1292
"ZT3D7_G361",58,119,47,120,130,121,101,594,218,885,428,930,156,73,71,340,155,247,373,458,604,1881,1047,387
"ZT3D7_G362",0,10,2,3,8,4,19,229,99,481,627,575,11,12,7,47,16,19,80,63,69,494,301,512
"ZT3D7_G363",17,2,1,16,41,34,86,135,91,246,251,292,6,9,0,119,14,34,99,95,103,560,458,530
"ZT3D7_G364",13,16,5,7,19,17,48,434,173,1181,1307,1686,16,26,24,149,23,43,149,118,86,1914,1203,1478
"ZT3D7_G365",1,0,0,2,2,1,0,5,0,5,2,4,1,0,2,10,6,4,4,8,7,3,0,6
"ZT3D7_G366",0,0,0,0,0,0,1,18,14,85,130,143,0,0,0,3,2,0,0,0,6,14,10,29
"ZT3D7_G367",7,16,5,10,20,16,35,329,159,519,626,842,6,19,12,97,21,29,124,122,109,868,568,663
"ZT3D7_G368",3,14,9,5,19,10,16,181,95,295,398,695,15,20,25,43,15,23,35,46,24,408,324,226
"ZT3D7_G369",11,15,2,12,19,21,40,604,306,2005,2377,2787,20,22,49,294,43,55,253,169,229,3249,2633,3302
"ZT3D7_G370",3,14,7,9,14,16,50,283,171,894,1056,1304,15,9,18,143,45,34,183,98,143,1649,1284,1494
"ZT3D7_G371",4,25,19,12,19,19,31,375,162,923,839,1061,14,26,28,150,40,48,116,115,138,1207,698,1005
"ZT3D7_G372",5,3,8,7,19,10,73,421,145,518,652,736,15,18,16,110,30,51,152,148,116,594,358,589
"ZT3D7_G373",2,34,6,16,10,9,16,132,42,248,343,298,18,21,23,52,7,28,45,72,52,498,272,423
"ZT3D7_G374",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"ZT3D7_G375",2,23,5,14,25,11,58,461,154,2895,3253,3698,9,13,17,336,39,52,111,118,220,4895,3299,3518
"ZT3D7_G376",2,5,0,0,10,2,15,167,81,606,469,898,1,10,3,77,4,14,33,41,28,924,532,810
"ZT3D7_G377",0,4,2,0,4,6,3,66,35,46,90,48,1,2,16,10,2,3,11,9,4,100,63,95
"ZT3D7_G378",0,0,0,0,0,0,0,8,2,5,1,6,0,0,0,4,0,2,2,3,4,7,5,9
"ZT3D7_G379",0,3,2,2,7,0,4,124,79,318,265,368,0,7,0,26,7,6,45,28,27,378,231,322
"ZT3D7_G380",0,10,4,3,12,4,34,158,70,1305,1786,2360,5,20,5,304,27,27,68,64,118,4352,1922,3154
"ZT3D7_G381",17,13,15,11,22,19,53,497,326,981,910,1145,17,32,12,140,37,48,279,198,139,1186,722,1048
"ZT3D7_G382",0,0,0,0,0,1,1,6,5,8,3,4,0,0,0,1,2,5,3,3,0,6,3,1
"ZT3D7_G383",0,1,2,0,4,8,16,104,22,102,138,126,3,5,4,26,11,14,20,22,41,209,181,274
"ZT3D7_G384",0,1,6,2,7,6,32,38,0,169,193,342,2,15,0,62,13,16,13,11,31,685,214,306
"ZT3D7_G385",11,10,20,16,16,5,10,78,19,104,133,120,32,26,18,48,35,40,47,21,17,159,59,89
"ZT3D7_G386",2,2,1,3,2,2,10,91,33,785,930,1023,2,3,2,71,8,6,20,20,17,1023,541,1138
"ZT3D7_G387",0,0,0,0,0,0,0,6,4,65,104,100,2,0,0,15,1,3,4,3,1,276,258,258
"ZT3D7_G388",0,0,0,0,0,0,1,2,0,14,10,35,0,1,0,37,2,0,3,4,5,618,377,484
"ZT3D7_G389",2,6,0,4,5,5,11,177,83,108,66,82,3,0,3,13,6,3,15,12,12,105,64,81
"ZT3D7_G390",4,8,9,4,6,14,18,235,83,572,571,867,10,9,18,121,24,40,232,204,151,1208,778,562
"ZT3D7_G391",0,8,4,2,4,1,18,247,26,813,2833,2512,4,10,40,443,4,19,31,35,52,7002,2983,4889
"ZT3D7_G392",15,60,20,33,43,43,103,1145,645,3277,2937,4272,68,39,61,542,70,164,651,608,436,5557,4191,3385
"ZT3D7_G393",5,5,5,9,20,12,38,401,199,1201,1027,1409,7,10,12,140,16,35,128,150,152,1442,922,941
"ZT3D7_G394",9,83,11,2,0,5,6,21,12,8,8,9,33,32,86,6,11,12,24,9,21,25,15,17
"ZT3D7_G395",11,28,13,13,32,9,87,519,203,3612,4123,4841,7,22,13,127,19,31,43,31,158,1900,1210,1632
"ZT3D7_G396",8,1,2,0,9,3,18,55,26,95,148,126,0,0,0,11,1,7,6,13,34,8,14,31
"ZT3D7_G397",1,0,0,11,9,6,16,151,62,48,59,63,4,0,0,28,8,8,76,51,47,53,39,63
"ZT3D7_G398",2,2,1,3,2,6,22,240,87,572,679,893,4,0,7,69,8,24,51,73,58,562,458,604
"ZT3D7_G399",0,1,0,3,11,0,7,52,16,49,45,55,4,0,0,11,5,10,27,24,38,60,49,51
"ZT3D7_G400",2,2,0,1,1,0,5,46,24,44,31,59,0,2,2,16,18,12,46,28,45,62,47,75
"ZT3D7_G401",0,1,1,0,1,0,22,59,6,6,8,19,0,0,0,10,0,2,6,20,40,27,19,46
"ZT3D7_G402",0,0,1,0,19,6,37,177,66,152,174,204,4,8,4,68,25,30,122,110,101,311,160,381
"ZT3D7_G403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G405",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ZT3D7_G406",0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G407",2,4,3,7,10,1,34,291,89,1616,1715,2079,5,9,10,181,14,22,67,55,65,3170,2290,2597
"ZT3D7_G408",3,32,4,11,16,20,28,228,144,523,653,688,10,26,16,94,26,18,105,98,94,1047,791,604
"ZT3D7_G409",7,17,17,18,30,11,68,368,172,818,911,891,23,25,28,145,31,51,151,115,110,1311,619,756
"ZT3D7_G410",3,21,1,2,11,12,12,252,109,788,793,1317,6,12,4,95,12,23,115,74,65,1011,858,794
"ZT3D7_G411",0,0,0,0,5,6,10,79,14,280,433,372,4,4,2,78,12,15,47,41,26,953,629,692
"ZT3D7_G412",1,3,2,7,5,1,16,134,77,198,362,233,14,8,7,37,16,16,74,58,50,292,216,255
"ZT3D7_G413",0,3,0,1,4,5,6,112,17,380,337,560,0,3,5,37,2,11,30,23,21,543,395,424
"ZT3D7_G414",3,33,7,15,28,10,27,425,234,764,832,1093,15,13,35,101,19,34,181,127,105,1125,861,813
"ZT3D7_G415",13,35,11,10,27,11,69,368,144,1973,2483,3254,30,35,45,236,45,42,126,136,281,2981,2361,2744
"ZT3D7_G416",5,18,14,20,28,20,70,1031,332,5890,6334,8048,16,27,41,500,47,43,246,231,298,7233,6953,7950
"ZT3D7_G417",13,11,6,12,29,17,84,565,282,840,1074,940,10,11,5,156,37,58,186,206,172,1332,790,1320
"ZT3D7_G418",5,27,4,7,20,21,35,346,187,628,555,727,24,25,22,148,35,57,134,107,110,1491,670,571
"ZT3D7_G419",63,129,64,104,187,142,355,2781,1724,8410,8648,11619,118,89,105,954,189,318,1516,1386,1068,9195,7139,5811
"ZT3D7_G420",7,3,0,10,12,17,47,248,130,515,549,655,5,7,14,80,23,47,100,125,88,555,400,442
"ZT3D7_G421",2,11,5,9,38,23,89,840,429,2075,2167,2623,11,19,33,230,50,75,356,326,244,2110,1784,1880
"ZT3D7_G422",1,0,0,1,0,0,0,14,6,55,78,107,0,2,0,2,0,0,1,1,1,102,51,97
"ZT3D7_G423",8,33,17,10,39,37,67,923,459,4560,4567,6181,14,29,43,554,33,45,285,223,241,7932,5723,6096
"ZT3D7_G424",0,0,0,0,0,0,0,18,4,40,57,67,2,0,0,6,2,2,8,13,12,82,83,125
"ZT3D7_G425",9,41,17,8,20,27,67,434,101,1849,2011,2558,46,40,57,233,39,44,86,148,341,3253,2428,2938
"ZT3D7_G426",15,81,17,31,59,33,36,316,145,2188,2226,2863,47,33,79,247,45,52,154,52,57,2972,2485,2977
"ZT3D7_G427",0,0,1,0,0,0,0,5,0,4,5,3,0,1,0,0,0,0,1,0,0,3,3,7
"ZT3D7_G428",2,7,3,3,17,15,51,403,221,825,939,936,8,12,31,156,15,32,111,77,104,1461,784,1279
"ZT3D7_G429",31,107,35,49,67,30,110,1600,528,12504,14878,17256,48,83,92,1220,66,112,452,295,458,19317,12719,14031
"ZT3D7_G430",0,1,0,0,1,4,1,22,0,72,139,65,1,0,1,10,1,3,3,0,3,147,76,101
"ZT3D7_G431",0,0,0,0,0,0,8,11,13,16,14,13,0,3,0,2,0,1,0,0,1,15,6,12
"ZT3D7_G432",0,15,6,4,16,8,17,331,163,995,931,1267,7,10,10,117,18,36,186,158,151,1504,1275,1285
"ZT3D7_G433",1,3,2,3,4,0,11,74,33,397,305,650,1,1,2,53,5,6,22,28,60,574,401,427
"ZT3D7_G434",5,10,3,12,10,10,21,93,32,319,268,407,4,4,11,46,25,22,41,48,52,340,269,311
"ZT3D7_G435",5,3,2,4,9,7,27,238,109,857,855,1088,7,6,11,81,16,36,130,81,110,960,679,746
"ZT3D7_G436",5,28,6,21,49,16,93,734,378,2267,2479,3585,32,29,62,428,55,75,347,300,360,5072,4098,3936
"ZT3D7_G437",7,45,15,13,34,21,50,869,508,2441,2252,2970,19,25,34,206,36,75,405,314,252,2133,1653,1665
"ZT3D7_G438",2,1,0,1,1,0,42,112,52,213,270,339,8,3,2,55,8,14,78,63,65,545,394,595
"ZT3D7_G439",0,0,0,0,0,0,0,20,2,1,3,8,0,0,0,1,1,0,9,5,17,14,9,8
"ZT3D7_G440",0,0,0,0,0,1,7,24,1,39,86,92,0,1,0,8,0,4,6,4,3,55,36,64
"ZT3D7_G441",0,0,0,0,0,0,0,3,0,20,19,33,0,0,0,1,0,2,7,0,0,29,23,33
"ZT3D7_G442",3,20,6,7,7,0,19,131,31,315,615,598,6,5,22,68,6,3,50,36,35,786,583,599
"ZT3D7_G443",1,4,1,2,9,8,23,244,97,306,419,467,3,3,12,41,9,15,115,115,77,381,344,370
"ZT3D7_G444",1,1,2,3,1,2,14,116,45,460,360,707,0,1,0,45,10,9,22,39,48,598,528,604
"ZT3D7_G445",2,3,0,1,1,4,7,37,15,54,103,73,7,4,12,12,7,4,12,10,10,157,96,163
"ZT3D7_G446",2,12,4,3,20,12,45,202,149,1626,1584,1694,12,8,17,145,17,34,92,70,81,2028,1172,1708
"ZT3D7_G447",0,0,0,0,0,0,0,0,0,78,91,80,0,1,0,1,0,0,5,0,0,13,21,11
"ZT3D7_G448",0,8,4,8,8,4,28,119,57,88,116,158,12,5,18,35,7,20,34,34,35,221,138,158
"ZT3D7_G449",0,1,0,3,4,3,23,151,93,160,165,209,1,4,1,35,7,15,44,60,28,106,95,197
"ZT3D7_G450",4,17,9,4,20,3,30,267,177,1068,1071,1532,9,15,13,193,24,25,96,97,127,1828,1034,1267
