"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G3529",183,244,517,130,186,207,143,120,620,477,483,275
"ZT3D7_G3530",87,335,454,174,177,179,68,96,517,399,432,296
"ZT3D7_G3531",153,551,671,246,227,212,116,138,629,569,734,412
"ZT3D7_G3532",87,719,122,71,101,77,79,134,129,115,926,563
"ZT3D7_G3533",37,151,249,40,52,41,19,17,265,173,212,123
"ZT3D7_G3534",445,947,324,884,970,835,470,464,349,273,1218,768
"ZT3D7_G3535",34,1357,56,1593,1681,1535,38,61,63,35,2185,1200
"ZT3D7_G3536",20,12,85,27,19,23,30,32,82,82,26,12
"ZT3D7_G3537",150,37,176,158,118,119,105,119,205,185,92,42
"ZT3D7_G3538",502,306,862,686,600,468,482,559,960,749,403,216
"ZT3D7_G3539",2857,633,2868,314,352,391,2306,3588,2845,2263,708,433
"ZT3D7_G3540",37,2869,651,7315,6904,6328,21,206,659,672,4989,3396
"ZT3D7_G3541",653,1025,666,768,849,783,472,862,468,327,1028,749
"ZT3D7_G3542",1488,635,2263,853,796,684,1352,1507,2119,2045,980,523
"ZT3D7_G3543",362,247,456,498,511,405,333,349,524,384,379,179
"ZT3D7_G3544",1,14,39,1,8,3,6,4,17,23,10,14
"ZT3D7_G3545",158,129,155,210,204,192,136,197,160,144,186,104
"ZT3D7_G3546",380,387,448,467,635,503,422,348,610,539,819,395
"ZT3D7_G3547",295,125,162,116,106,110,362,239,135,154,185,98
"ZT3D7_G3548",227,112,250,150,162,124,194,253,224,187,175,117
"ZT3D7_G3549",772,6398,1611,2517,2761,2535,1006,786,1833,1491,9354,5126
"ZT3D7_G3550",45,27,56,56,48,42,32,31,90,69,44,17
"ZT3D7_G3551",787,1129,711,2131,1879,1822,650,836,631,636,1672,908
"ZT3D7_G3552",41,188,1199,39,49,75,41,12,1360,1410,333,175
"ZT3D7_G3553",448,259,265,472,434,417,316,489,300,234,353,215
"ZT3D7_G3554",42,9,70,95,56,47,17,53,25,50,16,5
"ZT3D7_G3555",70,32,256,190,179,133,48,99,109,155,49,30
"ZT3D7_G3556",177,685,492,821,586,618,178,200,484,456,937,525
"ZT3D7_G3557",421,613,1487,641,643,593,591,647,1776,1506,878,505
"ZT3D7_G3558",102,15,107,82,60,56,111,119,97,107,31,8
"ZT3D7_G3559",1028,1101,1679,1479,1717,1551,1254,1378,1491,1352,1637,967
